Label	BJD_TDB	rel_flux_T1	rel_flux_err_T1	AIR	JD_UTC	rel_flux_T1_dn	rel_flux_err_T1_dn
fl.debias.st.0273.TIC99869022.01.fits	2459258.916091000	0.683206000	0.001058000	1.170000000	0.911626000	0.997400355	0.001544555
fl.debias.st.0275.TIC99869022.01.fits	2459258.917352000	0.683065000	0.001060000	1.170000000	0.912888000	0.997194512	0.001547475
fl.debias.st.0277.TIC99869022.01.fits	2459258.918544000	0.683379000	0.001061000	1.170000000	0.914080000	0.997652915	0.001548935
fl.debias.st.0279.TIC99869022.01.fits	2459258.919794000	0.684449000	0.001064000	1.170000000	0.915330000	0.999214989	0.001553315
fl.debias.st.0281.TIC99869022.01.fits	2459258.920998000	0.683957000	0.001063000	1.170000000	0.916534000	0.998496727	0.001551855
fl.debias.st.0283.TIC99869022.01.fits	2459258.922202000	0.683871000	0.001062000	1.170000000	0.917737000	0.998371177	0.001550395
fl.debias.st.0285.TIC99869022.01.fits	2459258.923417000	0.683217000	0.001063000	1.170000000	0.918953000	0.997416414	0.001551855
fl.debias.st.0287.TIC99869022.01.fits	2459258.924598000	0.684538000	0.001059000	1.180000000	0.920133000	0.999392177	0.001546088
fl.debias.st.0289.TIC99869022.01.fits	2459258.925836000	0.685241000	0.001068000	1.180000000	0.921372000	1.000418523	0.001559228
fl.debias.st.0291.TIC99869022.01.fits	2459258.927051000	0.688011000	0.001073000	1.180000000	0.922587000	1.004462588	0.001566528
fl.debias.st.0293.TIC99869022.01.fits	2459258.928301000	0.686323000	0.001069000	1.180000000	0.923837000	1.001998190	0.001560688
fl.debias.st.0295.TIC99869022.01.fits	2459258.929505000	0.686712000	0.001062000	1.180000000	0.925041000	1.002566111	0.001550468
fl.debias.st.0297.TIC99869022.01.fits	2459258.930720000	0.687418000	0.001066000	1.180000000	0.926256000	1.003596837	0.001556308
fl.debias.st.0299.TIC99869022.01.fits	2459258.931936000	0.687993000	0.001067000	1.180000000	0.927471000	1.004436309	0.001557768
fl.debias.st.0301.TIC99869022.01.fits	2459258.933139000	0.684965000	0.001066000	1.180000000	0.928675000	1.000015576	0.001556308
fl.debias.st.0303.TIC99869022.01.fits	2459258.934378000	0.686033000	0.001062000	1.190000000	0.929913000	1.001622170	0.001550542
fl.debias.st.0305.TIC99869022.01.fits	2459258.935581000	0.685968000	0.001065000	1.190000000	0.931117000	1.001527269	0.001554922
fl.debias.st.0307.TIC99869022.01.fits	2459258.936831000	0.685641000	0.001071000	1.190000000	0.932367000	1.001049842	0.001563682
fl.debias.st.0309.TIC99869022.01.fits	2459258.938035000	0.683299000	0.001074000	1.190000000	0.933571000	0.997630474	0.001568062
fl.debias.st.0311.TIC99869022.01.fits	2459258.939273000	0.686936000	0.001087000	1.190000000	0.934809000	1.002940568	0.001587042
fl.debias.st.0313.TIC99869022.01.fits	2459258.940477000	0.683654000	0.001073000	1.190000000	0.936013000	0.998148782	0.001566602
fl.debias.st.0315.TIC99869022.01.fits	2459258.941716000	0.685963000	0.001076000	1.200000000	0.937251000	1.001567334	0.001571056
fl.debias.st.0317.TIC99869022.01.fits	2459258.942919000	0.681410000	0.001082000	1.200000000	0.938455000	0.994919547	0.001579817
fl.debias.st.0319.TIC99869022.01.fits	2459258.944158000	0.683082000	0.001090000	1.200000000	0.939693000	0.997360817	0.001591497
fl.debias.st.0321.TIC99869022.01.fits	2459258.945373000	0.685686000	0.001084000	1.200000000	0.940909000	1.001162890	0.001582737
fl.debias.st.0323.TIC99869022.01.fits	2459258.946739000	0.685481000	0.001076000	1.200000000	0.942274000	1.000863571	0.001571056
fl.debias.st.0325.TIC99869022.01.fits	2459258.947931000	0.684553000	0.001075000	1.210000000	0.943466000	0.999555881	0.001569670
fl.debias.st.0327.TIC99869022.01.fits	2459258.949146000	0.688071000	0.001079000	1.210000000	0.944682000	1.004692719	0.001575511
fl.debias.st.0329.TIC99869022.01.fits	2459258.950373000	0.684966000	0.001069000	1.210000000	0.945909000	1.000158926	0.001560909
fl.debias.st.0331.TIC99869022.01.fits	2459258.951542000	0.684262000	0.001071000	1.210000000	0.947078000	0.999130975	0.001563830
fl.debias.st.0333.TIC99869022.01.fits	2459258.952803000	0.683663000	0.001072000	1.210000000	0.948339000	0.998256340	0.001565290
fl.debias.st.0335.TIC99869022.01.fits	2459258.954007000	0.683950000	0.001082000	1.220000000	0.949543000	0.998722641	0.001579966
fl.debias.st.0337.TIC99869022.01.fits	2459258.955222000	0.683479000	0.001080000	1.220000000	0.950758000	0.998034874	0.001577046
fl.debias.st.0339.TIC99869022.01.fits	2459258.956426000	0.681501000	0.001078000	1.220000000	0.951962000	0.995146544	0.001574125
fl.debias.st.0341.TIC99869022.01.fits	2459258.957630000	0.684726000	0.001087000	1.220000000	0.953166000	0.999855778	0.001587267
fl.debias.st.0343.TIC99869022.01.fits	2459258.958891000	0.683188000	0.001088000	1.230000000	0.954427000	0.997657135	0.001588803
fl.debias.st.0345.TIC99869022.01.fits	2459258.960107000	0.685026000	0.001088000	1.230000000	0.955642000	1.000341160	0.001588803
fl.debias.st.0347.TIC99869022.01.fits	2459258.961345000	0.684699000	0.001082000	1.230000000	0.956881000	0.999863643	0.001580041
fl.debias.st.0349.TIC99869022.01.fits	2459258.962526000	0.684116000	0.001080000	1.230000000	0.958061000	0.999012290	0.001577120
fl.debias.st.0351.TIC99869022.01.fits	2459258.963764000	0.687131000	0.001079000	1.240000000	0.959300000	1.003462549	0.001575735
fl.debias.st.0353.TIC99869022.01.fits	2459258.964991000	0.684146000	0.001074000	1.240000000	0.960527000	0.999103357	0.001568433
