Label	BJD_TDB	rel_flux_T1	rel_flux_err_T1	AIR	JD_UTC	rel_flux_T1_dn	rel_flux_err_T1_dn
fl.debias.st.0324.TIC99869022.01.fits	2459258.947329000	0.547644000	0.000805000	1.210000000	0.942865000	0.999719603	0.001469521
fl.debias.st.0326.TIC99869022.01.fits	2459258.948556000	0.549550000	0.000809000	1.210000000	0.944091000	1.003198990	0.001476823
fl.debias.st.0328.TIC99869022.01.fits	2459258.949759000	0.550085000	0.000810000	1.210000000	0.945295000	1.004175628	0.001478648
fl.debias.st.0330.TIC99869022.01.fits	2459258.950963000	0.548293000	0.000809000	1.210000000	0.946499000	1.000904347	0.001476823
fl.debias.st.0332.TIC99869022.01.fits	2459258.952178000	0.548051000	0.000809000	1.210000000	0.947714000	1.000462578	0.001476823
fl.debias.st.0334.TIC99869022.01.fits	2459258.953405000	0.548492000	0.000808000	1.220000000	0.948941000	1.001274246	0.001475007
fl.debias.st.0336.TIC99869022.01.fits	2459258.954632000	0.547277000	0.000806000	1.220000000	0.950168000	0.999056259	0.001471356
fl.debias.st.0338.TIC99869022.01.fits	2459258.955824000	0.547106000	0.000808000	1.220000000	0.951360000	0.998744098	0.001475007
fl.debias.st.0340.TIC99869022.01.fits	2459258.957039000	0.547823000	0.000808000	1.220000000	0.952575000	1.000052984	0.001475007
fl.debias.st.0342.TIC99869022.01.fits	2459258.958255000	0.540599000	0.000798000	1.220000000	0.953791000	0.986865544	0.001456752
fl.debias.st.0344.TIC99869022.01.fits	2459258.959505000	0.548049000	0.000809000	1.230000000	0.955041000	1.000472169	0.001476842
fl.debias.st.0346.TIC99869022.01.fits	2459258.960732000	0.549024000	0.000810000	1.230000000	0.956267000	1.002252047	0.001478668
fl.debias.st.0348.TIC99869022.01.fits	2459258.961947000	0.546754000	0.000808000	1.230000000	0.957483000	0.998108126	0.001475017
fl.debias.st.0350.TIC99869022.01.fits	2459258.963151000	0.547606000	0.000809000	1.230000000	0.958686000	0.999663465	0.001476842
fl.debias.st.0352.TIC99869022.01.fits	2459258.964377000	0.550082000	0.000813000	1.240000000	0.959913000	1.004190088	0.001484154
fl.debias.st.0354.TIC99869022.01.fits	2459258.965604000	0.546664000	0.000807000	1.240000000	0.961140000	0.997950434	0.001473201
fl.debias.st.0356.TIC99869022.01.fits	2459258.966808000	0.546848000	0.000808000	1.240000000	0.962344000	0.998286331	0.001475027
fl.debias.st.0358.TIC99869022.01.fits	2459258.968012000	0.547790000	0.000809000	1.240000000	0.963547000	1.000005978	0.001476852
fl.debias.st.0360.TIC99869022.01.fits	2459258.969204000	0.550196000	0.000811000	1.250000000	0.964740000	1.004404845	0.001480513
fl.debias.st.0362.TIC99869022.01.fits	2459258.970407000	0.548050000	0.000811000	1.250000000	0.965943000	1.000487236	0.001480513
fl.debias.st.0364.TIC99869022.01.fits	2459258.971634000	0.545715000	0.000807000	1.250000000	0.967170000	0.996224600	0.001473211
fl.debias.st.0366.TIC99869022.01.fits	2459258.972873000	0.546983000	0.000809000	1.250000000	0.968409000	0.998539385	0.001476862
fl.debias.st.0368.TIC99869022.01.fits	2459258.974076000	0.545678000	0.000810000	1.260000000	0.969612000	0.996163648	0.001478697
fl.debias.st.0370.TIC99869022.01.fits	2459258.975292000	0.546973000	0.000811000	1.260000000	0.970828000	0.998527738	0.001480523
fl.debias.st.0372.TIC99869022.01.fits	2459258.976507000	0.547440000	0.000812000	1.260000000	0.972043000	0.999380271	0.001482348
fl.debias.st.0374.TIC99869022.01.fits	2459258.977734000	0.544703000	0.000811000	1.270000000	0.973270000	0.994390315	0.001480533
fl.debias.st.0376.TIC99869022.01.fits	2459258.978926000	0.546042000	0.000812000	1.270000000	0.974462000	0.996834746	0.001482358
fl.debias.st.0378.TIC99869022.01.fits	2459258.980130000	0.546062000	0.000812000	1.270000000	0.975666000	0.996871257	0.001482358
fl.debias.st.0380.TIC99869022.01.fits	2459258.981380000	0.546772000	0.000812000	1.280000000	0.976916000	0.998174013	0.001482368
fl.debias.st.0382.TIC99869022.01.fits	2459258.982583000	0.546483000	0.000812000	1.280000000	0.978119000	0.997646422	0.001482368
fl.debias.st.0384.TIC99869022.01.fits	2459258.983798000	0.545696000	0.000812000	1.280000000	0.979334000	0.996209693	0.001482368
fl.debias.st.0386.TIC99869022.01.fits	2459258.985014000	0.547231000	0.000814000	1.290000000	0.980550000	0.999018564	0.001486029
fl.debias.st.0388.TIC99869022.01.fits	2459258.986252000	0.546080000	0.000815000	1.290000000	0.981788000	0.996917312	0.001487855
fl.debias.st.0390.TIC99869022.01.fits	2459258.987456000	0.547944000	0.000818000	1.290000000	0.982992000	1.000320209	0.001493331
fl.debias.st.0392.TIC99869022.01.fits	2459258.988660000	0.547463000	0.000818000	1.300000000	0.984196000	0.999448715	0.001493341
fl.debias.st.0394.TIC99869022.01.fits	2459258.989875000	0.547341000	0.000817000	1.300000000	0.985411000	0.999225992	0.001491516
fl.debias.st.0396.TIC99869022.01.fits	2459258.991079000	0.547870000	0.000816000	1.300000000	0.986615000	1.000191735	0.001489690
fl.debias.st.0398.TIC99869022.01.fits	2459258.992282000	0.546695000	0.000813000	1.310000000	0.987818000	0.998053259	0.001484223
fl.debias.st.0400.TIC99869022.01.fits	2459258.993532000	0.545769000	0.000813000	1.310000000	0.989068000	0.996362742	0.001484223
fl.debias.st.0402.TIC99869022.01.fits	2459258.994771000	0.547562000	0.000815000	1.310000000	0.990307000	0.999636065	0.001487874
fl.debias.st.0404.TIC99869022.01.fits	2459258.996021000	0.546246000	0.000814000	1.320000000	0.991557000	0.997240159	0.001486058
fl.debias.st.0406.TIC99869022.01.fits	2459258.997247000	0.550346000	0.000820000	1.320000000	0.992784000	1.004725220	0.001497012
fl.debias.st.0408.TIC99869022.01.fits	2459258.998474000	0.547666000	0.000818000	1.320000000	0.994010000	0.999832546	0.001493361
fl.debias.st.0410.TIC99869022.01.fits	2459258.999701000	0.548145000	0.000819000	1.330000000	0.995237000	1.000713643	0.001495196
fl.debias.st.0412.TIC99869022.01.fits	2459259.000905000	0.549079000	0.000821000	1.330000000	0.996441000	1.002418788	0.001498848
fl.debias.st.0414.TIC99869022.01.fits	2459259.002120000	0.546945000	0.000819000	1.340000000	0.997656000	0.998529488	0.001495206
fl.debias.st.0416.TIC99869022.01.fits	2459259.003358000	0.546854000	0.000818000	1.340000000	0.998895000	0.998363354	0.001493381
fl.debias.st.0418.TIC99869022.01.fits	2459259.004562000	0.547289000	0.000820000	1.340000000	1.000098000	0.999157511	0.001497032
fl.debias.st.0420.TIC99869022.01.fits	2459259.005801000	0.548037000	0.000822000	1.350000000	1.001337000	1.000529718	0.001500693
fl.debias.st.0422.TIC99869022.01.fits	2459259.007016000	0.547049000	0.000821000	1.350000000	1.002552000	0.998725965	0.001498868
fl.debias.st.0424.TIC99869022.01.fits	2459259.008266000	0.548211000	0.000824000	1.360000000	1.003802000	1.000854007	0.001504355
fl.debias.st.0426.TIC99869022.01.fits	2459259.009470000	0.547182000	0.000822000	1.360000000	1.005006000	0.998975389	0.001500703
fl.debias.st.0428.TIC99869022.01.fits	2459259.010696000	0.547577000	0.000823000	1.370000000	1.006233000	0.999703147	0.001502539
fl.debias.st.0430.TIC99869022.01.fits	2459259.011912000	0.540183000	0.000813000	1.370000000	1.007448000	0.986204031	0.001484282
fl.debias.st.0432.TIC99869022.01.fits	2459259.013335000	0.547456000	0.000826000	1.380000000	1.008872000	0.999488854	0.001508026
fl.debias.st.0434.TIC99869022.01.fits	2459259.014551000	0.546923000	0.000823000	1.380000000	1.010087000	0.998515757	0.001502549
fl.debias.st.0436.TIC99869022.01.fits	2459259.015743000	0.547699000	0.000825000	1.380000000	1.011279000	0.999932498	0.001506200
fl.debias.st.0438.TIC99869022.01.fits	2459259.016958000	0.549031000	0.000827000	1.390000000	1.012494000	1.002370961	0.001509862
fl.debias.st.0440.TIC99869022.01.fits	2459259.018196000	0.547422000	0.000825000	1.390000000	1.013733000	0.999433395	0.001506210
fl.debias.st.0442.TIC99869022.01.fits	2459259.019412000	0.546509000	0.000826000	1.400000000	1.014948000	0.997773126	0.001508046
fl.debias.st.0444.TIC99869022.01.fits	2459259.020650000	0.547181000	0.000829000	1.400000000	1.016186000	0.999000011	0.001513523
fl.debias.st.0446.TIC99869022.01.fits	2459259.021865000	0.548358000	0.000830000	1.410000000	1.017402000	1.001155511	0.001515359
fl.debias.st.0448.TIC99869022.01.fits	2459259.023115000	0.549204000	0.000832000	1.410000000	1.018652000	1.002700081	0.001519010
fl.debias.st.0450.TIC99869022.01.fits	2459259.024319000	0.547485000	0.000827000	1.420000000	1.019855000	0.999568261	0.001509892
fl.debias.st.0452.TIC99869022.01.fits	2459259.025569000	0.545732000	0.000827000	1.420000000	1.021105000	0.996367729	0.001509892
fl.debias.st.0454.TIC99869022.01.fits	2459259.026784000	0.549921000	0.000833000	1.430000000	1.022321000	1.004022422	0.001520856
fl.debias.st.0456.TIC99869022.01.fits	2459259.028023000	0.548321000	0.000830000	1.430000000	1.023559000	1.001101210	0.001515379
fl.debias.st.0458.TIC99869022.01.fits	2459259.029261000	0.546771000	0.000830000	1.440000000	1.024797000	0.998277893	0.001515389
fl.debias.st.0460.TIC99869022.01.fits	2459259.030488000	0.546303000	0.000829000	1.440000000	1.026024000	0.997423433	0.001513563
fl.debias.st.0462.TIC99869022.01.fits	2459259.031703000	0.548527000	0.000832000	1.450000000	1.027240000	1.001490573	0.001519050
fl.debias.st.0464.TIC99869022.01.fits	2459259.032942000	0.548439000	0.000834000	1.460000000	1.028478000	1.001336532	0.001522712
fl.debias.st.0466.TIC99869022.01.fits	2459259.034157000	0.547869000	0.000833000	1.460000000	1.029693000	1.000295830	0.001520886
fl.debias.st.0468.TIC99869022.01.fits	2459259.035395000	0.548844000	0.000837000	1.470000000	1.030932000	1.002082611	0.001528200
fl.debias.st.0470.TIC99869022.01.fits	2459259.036611000	0.550656000	0.000839000	1.470000000	1.032147000	1.005390972	0.001531851
fl.debias.st.0472.TIC99869022.01.fits	2459259.037849000	0.547823000	0.000839000	1.480000000	1.033385000	1.000225084	0.001531861
fl.debias.st.0474.TIC99869022.01.fits	2459259.039053000	0.548638000	0.000839000	1.480000000	1.034589000	1.001713125	0.001531861
fl.debias.st.0476.TIC99869022.01.fits	2459259.040256000	0.548682000	0.000842000	1.490000000	1.035793000	1.001800092	0.001537349
fl.debias.st.0478.TIC99869022.01.fits	2459259.041460000	0.547975000	0.000845000	1.500000000	1.036997000	1.000515853	0.001542837
fl.debias.st.0480.TIC99869022.01.fits	2459259.042675000	0.549496000	0.000850000	1.500000000	1.038212000	1.003292959	0.001551966
fl.debias.st.0482.TIC99869022.01.fits	2459259.043914000	0.550118000	0.000858000	1.510000000	1.039450000	1.004435281	0.001566583
fl.debias.st.0484.TIC99869022.01.fits	2459259.045117000	0.548366000	0.000864000	1.520000000	1.040654000	1.001243011	0.001577549
fl.debias.st.0486.TIC99869022.01.fits	2459259.046367000	0.547782000	0.000875000	1.520000000	1.041904000	1.000176705	0.001597633
fl.debias.st.0488.TIC99869022.01.fits	2459259.047571000	0.548389000	0.000892000	1.530000000	1.043108000	1.001291634	0.001628684
fl.debias.st.0490.TIC99869022.01.fits	2459259.048775000	0.547780000	0.000914000	1.530000000	1.044311000	1.000179674	0.001668853
fl.debias.st.0492.TIC99869022.01.fits	2459259.049978000	0.551622000	0.001000000	1.540000000	1.045515000	1.007201365	0.001825890
fl.debias.st.0494.TIC99869022.01.fits	2459259.051194000	0.545487000	0.001148000	1.550000000	1.046730000	0.996006120	0.002096136
fl.debias.st.0496.TIC99869022.01.fits	2459259.052444000	0.545461000	0.001275000	1.550000000	1.047980000	0.995958646	0.002328026
fl.debias.st.0498.TIC99869022.01.fits	2459259.053636000	0.547362000	0.001441000	1.560000000	1.049172000	0.999436303	0.002631143
