BJD_TDB flux_star_0 flux_star_1 flux_star_2 flux_star_3 flux_star_4 flux_star_5 flux_star_6 flux_star_7 flux_star_8 sky airmass xshift yshift sky_entropy
2459332.3561989744 2074925.413667005 392733.3799721393 350953.88143806905 134960.85440290062 37425.31110432766 25283.337264233036 20144.406246194994 21648.079052491143 14183.022143533657 27.056095547125768 1.227 -6.046203768576092 -5.4966368460740895 6.648547444195127
2459332.3566394225 2065921.8517795529 389782.1796083491 348964.49557067885 133188.4060359625 36873.31874618733 25666.892716425835 20153.496311978044 21884.02932416447 14178.248821772038 26.128625280196186 1.227 -7.03882355409965 -5.696528226705674 6.683438510799556
2459332.3568246164 2071593.0122061053 392226.0834756923 350829.8296308025 135326.24112898114 37796.85087555522 25352.911716233677 20468.76088548494 20688.491617590378 14743.609902600161 25.976325642165495 1.226 -5.798022440902777 -6.872939771595512 6.672499406869703
2459332.3570106947 2076485.8059194128 393620.26166217536 352890.21891079517 135865.65601345588 37868.77365236009 27167.717883705176 20391.729816757303 21841.958696118207 15445.461146909001 25.925113258268105 1.226 -4.722791679744439 -7.3326281249348355 6.677398819736821
2459332.3571959436 2102873.8347076965 396596.70463715994 355136.4107202708 136940.72596060263 39313.31285378561 26216.39808558949 20728.379912701464 22425.69990308855 15276.248657973556 25.65648642904274 1.226 -3.547379068597003 -7.210295939873539 6.647133043608389
2459332.3573817266 2113330.955343793 400563.03173874185 361097.866262091 137525.60701663123 38738.81207348964 26290.943211643404 20615.17431615766 22473.505164249902 15457.221268565248 25.404542781370427 1.226 -0.9052523952616838 -6.164202723155903 6.611964706659547
2459332.357567809 2125306.185280471 401730.17154091777 358951.0145241899 137742.33801644956 38750.942652111204 26870.947751183514 21052.663910552947 21685.833214436905 15407.504814978238 25.209997574930828 1.225 -2.796452467850898 -6.7918466254567065 6.549287372774489
2459332.3577531246 2106103.735567874 397484.1634529109 357793.19763495564 137281.48540286964 38706.7267593726 25905.942236063755 20969.814074738984 22219.840413457612 15390.417088001544 25.062345142617556 1.225 -3.6243231650679064 -7.20434859538242 6.613791923738325
2459332.3579387194 2076496.1853683898 397041.7603646765 353302.44709021837 135733.7566547874 37697.77624149741 25674.690483910686 20777.27816123505 21924.609141988345 15101.446633240834 24.82597914428406 1.225 -5.596769147244714 -7.951473459954514 6.639770059225186
2459332.35812406 2080850.3771659173 393760.3087519306 352308.16873212747 135876.4126123565 37683.19926990027 26007.698899876617 21059.228561598444 20568.944611650295 15363.241256139358 24.573700575133604 1.225 -7.145062879298493 -8.581339994682452 6.626982366629648
2459332.3583101584 1982065.230039992 379248.98866248113 335758.1081821766 128051.43240705029 35670.44422494368 24325.616376252496 19402.039804372238 20931.596610595676 14601.418152863262 24.47746637254425 1.224 -6.7671990046303065 -9.686648647541617 6.723485164370432
2459332.358495465 2006311.1916234673 380152.1117928145 341403.858508028 130439.81617206018 35987.975902364546 24495.030566089874 19913.843046347174 21094.73690475327 13846.261758185326 24.24043779460162 1.224 -2.7917372315600772 -6.842873723813334 6.737288508669138
2459332.3586812452 2030282.0947733878 384484.64877032815 344018.9754197087 130917.60205032812 36791.66259426768 24716.736761388558 20905.550001071155 21477.31913720179 14569.002137032207 24.127626215475917 1.224 -1.4042755279512846 -6.412461678125133 6.730874084028152
2459332.3588665514 2041546.3156696402 389557.26838613977 346569.26397677953 132212.64375773424 37408.02621756014 25429.367287035973 20371.00017759879 21243.887765208245 14537.26397223593 23.990480583936954 1.224 0.3272976743356679 -7.359157296626506 6.677548047555556
2459332.3590519098 2053855.8477595553 388945.83371186955 346438.28588940715 133022.47934725537 36868.61773595773 26516.688368869945 19987.316104374913 21290.74984927068 14135.315541844771 24.050415817253725 1.224 1.1796942753947661 -7.0251941434597 6.629316214884874
2459332.359237359 2018208.9404373877 381298.42511228437 342669.31538493093 131818.7596693366 37088.00373306792 25543.033472450014 20473.037448266477 20992.100892844217 14154.2855302432 24.7475164821882 1.223 2.1319685190485984 -7.354472416307246 6.663337783128366
2459332.3594227917 2030940.3484708352 385808.4346240073 345906.32746441395 131339.67494482652 37828.8678721281 25985.464561416797 19509.127617651393 21607.205327041112 13633.978382956615 24.565325200578954 1.223 1.8086816257617997 -8.623043005657294 6.597622077084255
2459332.3596083634 2047771.717690183 388865.79927213734 347191.1075960377 134020.242205186 36823.83576848944 24448.618493108355 20272.448883394492 21511.199520706476 14607.290600646127 24.215904798995307 1.223 -0.5462569426341375 -6.378162220394287 6.651412339988681
2459332.3597935364 2028632.122503172 386705.17360299814 345471.39166368236 131221.07993988777 37530.62689810715 25010.6414188154 20540.847001222588 21400.22164243026 15135.810501661981 24.27222416259752 1.223 -2.952499232103804 -7.555591417058203 6.658814879180559
2459332.3599789175 2091763.4814455882 395793.7219201965 354380.80942427414 136772.59097716463 37561.9847948236 26128.81197077503 20393.906908268487 21651.266801634498 14702.666545123779 23.74305408962865 1.222 -4.406128542862419 -7.667513891109834 6.62659724348158
2459332.360164246 2136924.559057743 404095.90784689353 362406.3956427248 139124.27090954478 39516.08344582413 26378.118932344456 20866.704556451907 22121.157346781474 15574.463666950818 23.2974206227726 1.222 -5.18735880639197 -7.802374377311253 6.575174208474712
