BJD_TDB flux_star_0 flux_star_1 flux_star_2 flux_star_3 flux_star_4 flux_star_5 flux_star_6 flux_star_7 flux_star_8 sky airmass xshift yshift sky_entropy
2459332.357508568 2485784.6289454997 388496.24626206735 352228.98490625346 152397.6670913011 45303.021067058144 31368.016112665573 24789.68449690567 24205.88362485559 17407.570874939644 26.129786438104084 1.225 -2.188421582992241 -6.635002654339971 6.358499751519027
2459332.3576360615 2491127.236152593 390925.3725204236 353216.91042385844 151754.5064508336 44823.461176539146 31258.22854972433 25339.07339565018 23360.106592553275 16614.038307780866 25.93040506740863 1.225 -3.266727390184144 -7.14831697604437 6.277315342098319
2459332.3577639926 2476419.406637649 386921.9713763453 350751.7045980646 151488.94827993846 44649.637450017355 31007.00329429988 24864.256206634687 24382.008026062773 16719.39205262049 25.81415747119707 1.225 -4.028888056408135 -7.244662724833233 6.337239626266944
2459332.357891596 2464948.3369785654 386352.9714919124 348942.9775667749 151965.2107397067 44200.90114287574 31080.330856773377 24172.500554809405 23675.90349550807 16489.11297368187 25.67841342710118 1.225 -5.358269281759313 -7.816461032157591 6.4131600126867285
2459332.358019141 2456056.783698976 384835.25451160694 348019.47267158586 150809.53641935802 44556.16692287286 30325.84172492035 25651.898547793186 23444.597211927743 16807.476542514167 25.623526600320304 1.225 -6.452857193262702 -8.371646891335487 6.332880014216091
2459332.3581465166 2462510.419255141 386467.9182390401 348706.3714124632 151478.62754981912 43772.30780967424 31327.64482627163 24540.25235312886 23905.15946486748 16196.091641461666 25.510481177959974 1.225 -7.728747991672456 -8.55808344291873 6.407611271074739
2459332.3582740994 2390277.773397047 377181.0229639909 340928.4942030026 146256.18044322974 43007.79113815616 30002.255836308526 23926.95705125558 24259.683022912286 16382.444517723183 25.385034841700694 1.225 -7.7312568837432565 -9.775673965791185 6.477236242318042
2459332.358401594 2339903.16589766 365051.7679752611 332453.15267511003 144172.67844134063 40855.27451979721 29217.9281467353 23888.481182153744 23186.027551609863 16020.979876850164 25.280585268088043 1.224 -3.962610946712644 -8.108358356045727 6.562414355343054
2459332.358528978 2415720.5084096347 378665.8433234232 340873.09949444945 147679.34934822886 42630.30242647255 30969.916112179402 24753.04238193408 23278.322216336543 17285.91929217546 25.04964803288277 1.224 -3.109737546199753 -6.850059719198207 6.537322705234408
2459332.3586562313 2416181.1640431555 377817.22239611525 342635.1411098917 147484.60840624289 43058.98536617418 30749.011183742274 24529.54923764852 23589.705774881048 15974.707566512705 25.019749355725956 1.224 -2.0625152928540302 -6.3203583559806304 6.408471337199425
2459332.3587837378 2429382.12108087 380798.77397938026 343515.17791867885 149920.75379535934 43328.63505560989 30688.83655272273 25455.011724812706 23708.302331806626 17569.166906897954 24.67323803668932 1.224 -0.3090628285645636 -7.33627274590539 6.417365342186409
2459332.35891101 2405439.578170938 377318.53655848524 341033.1661117149 148817.15130220854 43177.82592641878 30222.69471553473 24099.162999047985 24190.24068585428 16325.532970337968 24.693814323784665 1.224 0.25067306834365155 -7.481205502307986 6.492356178400231
2459332.359038676 2415385.4674042356 378536.72565354075 343172.326900486 148161.6146046121 42571.53786120679 30290.259361218414 24106.77266497884 23440.668941857453 15759.91687034136 24.786174369920992 1.224 1.3357803115767766 -7.1641835373054406 6.441087120027652
2459332.3591662464 2426054.863432074 379602.06213075755 343673.4176596147 148277.36746407754 44111.24629259411 30718.752892094068 25008.312087661718 23445.840793079813 16537.336190428206 25.218040467540327 1.223 1.102232299378727 -6.634414411362137 6.3441311241679745
2459332.359293585 2388300.2211033436 373877.3693618901 339705.18114247546 147112.85036874007 42102.73854692769 29976.938551399202 24172.12567179557 23207.08265472087 16455.62996186153 25.322725060387725 1.223 2.6369102465787577 -8.383676638287106 6.441055831243035
2459332.3594213957 2412615.914755244 376735.0506534873 341550.37253698485 148530.17567558435 42479.053997480296 30790.1428987081 24510.258577519053 23217.929255240553 16625.877176970345 25.313065868327985 1.223 1.6064315732407337 -8.572889695645777 6.354362224047044
2459332.3595488505 2421792.003973082 378873.5054067738 343582.6955753097 148538.64922100658 43273.42839500662 30320.431251350223 24930.80391929012 24411.423113512763 15744.37350886091 25.110916727156315 1.223 0.27846674620084144 -7.207392171066054 6.344460754088292
2459332.359676231 2434214.739797912 381448.7569680758 344266.9447053747 149082.46283853514 43858.861373034844 30152.71186597878 24579.3733816576 23173.585438436217 16586.069772641393 25.155034670499536 1.223 -1.6324319815466595 -6.567611202913305 6.4126166015190735
2459332.359804033 2409677.331915253 376544.4972892648 340863.7846334775 147964.39330862608 41897.72873027406 30297.6937129007 24672.05786399552 23122.285774839373 16403.12057612746 25.145705581194314 1.223 -3.394765067161458 -7.639225073649172 6.40524032044169
2459332.3599312445 2443640.544841379 384050.0068009571 346412.2036311703 150382.02590177354 43627.42031951407 30396.299119033123 25347.268368160352 23291.96041345803 17542.123220567883 24.71191494377627 1.222 -4.626643847535924 -7.801351138985069 6.305081766757943
2459332.3600587077 2469663.1189348106 386172.99279003293 348329.29202041705 150681.44769452093 43443.16520681471 31910.619681314463 24822.014909024903 24874.13948368348 16367.946662671922 24.459909133670056 1.222 -5.086703884452824 -7.871836156361567 6.29860385480081
2459332.3601860963 2483959.0953024793 388026.7098888812 351861.50063115853 152189.0919664049 44143.4024317969 31573.37587654761 24911.209695482088 24170.381384656852 17061.12102851714 24.22264691326567 1.222 -5.373917750578464 -7.752922911603825 6.316385275599499
2459332.3603131967 2454460.4340891447 385281.94421225326 348577.05140628596 150346.90825143544 43397.462083164704 30768.421820250413 24931.299155152854 23722.212212635626 16932.985315483602 24.079049872459535 1.222 -4.703123395096625 -7.477540124759642 6.320437942484604
2459332.36044063 2422442.231396795 379237.81734940095 345013.50474545144 147601.02627930586 43144.09656710194 29968.529021794297 25086.521186099693 23617.974076319588 16369.82500010317 24.139197468345408 1.222 -3.2620197429881586 -8.771887583093338 6.478884156440081
