BJD_TDB flux_star_0 flux_star_1 flux_star_2 flux_star_3 flux_star_4 flux_star_5 flux_star_6 flux_star_7 flux_star_8 sky airmass xshift yshift sky_entropy
2459332.355828113 1794674.477524062 312547.7656909901 280107.7801936722 113956.93302572586 32988.06688633289 22354.218510409875 17642.481642027633 18074.31701671952 12458.599404684675 20.69518972837995 1.228 -2.7588214838684237 -4.827969475590869 6.63530189127632
2459332.356013595 1812277.741843921 315192.0842835308 283660.2677851601 114227.98102458486 33140.27517863928 23104.5405456608 18904.8035907772 18203.034723493634 12085.068645685358 20.213110188349635 1.227 -4.902103373853755 -4.9535053792306485 6.57869601677301
2459332.3561989926 1819464.4688659194 318960.04371256696 285896.8966990678 114948.55268909052 33739.497297389375 23718.384622350743 17753.01595835114 17460.86102941785 12770.894584691618 19.71169985958759 1.227 -6.032102520656409 -5.556696865888441 6.5459871665869676
2459332.356639299 1820528.2177355122 316978.8632183602 286725.81555701885 115031.38740070144 33730.13875073011 23238.86369241566 17576.646227025733 19033.0576427177 11842.514739655264 18.602870426753107 1.227 -7.000303853290212 -5.777931835422855 6.554779880869354
2459332.356824569 1824639.2743429355 318688.9324692821 287827.0748716687 115321.51255835564 33197.14480219182 22527.20254141942 17953.45978662501 19100.127246203367 12457.645350468447 18.338385602650813 1.226 -5.874573600711621 -6.960267759870341 6.518065439763041
2459332.357010679 1822208.451081022 319324.31551957515 287801.0447187047 115131.74999436866 33439.95110658705 23876.66096270227 18120.68445230137 19284.86981219692 12116.198692992693 18.009257750227896 1.226 -4.695113275843319 -7.367611695596281 6.536933807253207
2459332.3571960325 1841975.4434595373 321774.03117739974 289439.15802330954 116453.99595111904 34222.92789763308 22721.613127605728 18540.372366498006 19167.458383042278 12601.55460690736 17.700304350603997 1.226 -3.5572167635800724 -7.27858501541531 6.543682775726459
2459332.357381794 1840191.7854919038 321454.06848120526 291183.2743729161 116569.01178827087 33997.70212048796 24204.608480147115 19023.22848047105 18829.483530221507 13464.129854279367 17.36491927961867 1.226 -0.9139961790074125 -6.235825002314996 6.438876487393073
2459332.357567805 1848076.7691516152 323532.69617175724 292606.02124978014 117448.27515918472 34011.81502278194 23169.061407187473 17557.594582943595 18488.211738705868 12377.971435188883 17.05245241001756 1.225 -2.783954158341949 -6.902919988925021 6.500723272213415
2459332.3577532168 1838394.13704602 320939.31007574935 291575.9777539013 116659.54316211015 33569.71281169036 23335.583280217354 18199.76325522072 18572.854246653398 13132.812170179299 16.79434633364797 1.225 -3.5915077029798326 -7.277866744615537 6.5018552746288165
2459332.3579388047 1825742.4663411102 320013.4369529374 289356.2612360883 115514.30941531657 34197.19242640036 23335.02447825721 18401.86792200095 18873.635745919222 11944.892242344882 16.55594505403139 1.225 -5.591979452448548 -8.051035604142982 6.486854265230217
2459332.3581239604 1824786.9751309785 319536.7224744739 286440.04246380896 115760.00747518432 33387.5062209007 23031.82561000518 17717.304042213887 18729.19263430586 12519.182985642445 16.322438220040794 1.225 -7.138226148268437 -8.692174797257906 6.486046515954696
2459332.358310153 1769100.7500180874 309019.3868360451 274640.9607144203 111300.34390958035 31970.974342024536 22038.815969241696 17593.17160665657 18825.68136802058 12084.445516952954 16.13291581180244 1.224 -6.793938775620916 -9.814705698977633 6.631731551778275
2459332.35849551 1781379.736629139 309421.94461863145 279661.10617234453 112236.04042218998 33167.70584577427 22455.06262130213 17724.301594354474 18527.972322651505 12041.418330671659 15.864787250021974 1.224 -2.8342033104499578 -6.911143465597135 6.5966252031466945
2459332.3586812327 1798579.3136129428 312198.3880161745 282668.56772045285 113783.7876100638 32360.69931840019 23012.724537425078 17382.01054988838 18373.703054120168 12271.91881874374 15.656411399918365 1.224 -1.4321723009862595 -6.459769251051533 6.60869207587821
2459332.358866635 1802331.2934616846 314254.10415006866 284316.96142999874 113559.2230951091 32579.687208172356 22822.054183106025 17689.492026316046 17694.037810488473 12635.962827859345 15.34264554681149 1.224 0.3603358528857683 -7.4787252452016375 6.609362475543289
2459332.359052016 1803456.7922748462 314959.8851383034 282847.95985457656 113191.62524435148 32527.938630672914 22907.43159841567 18243.70682027121 19349.802622027535 12060.260231025342 15.438132930547761 1.224 1.1684198947512243 -7.06965493218722 6.542320295807068
2459332.3592374707 1780426.2305209574 309642.49057302077 279394.1895911078 112382.58216029475 32046.063314600848 22860.281425738518 18257.274291813446 18392.3915103411 12249.293775609462 15.841878152993173 1.223 2.115654716503059 -7.426297368495398 6.526213345024074
2459332.359422768 1794884.5437730837 312698.92808852566 281698.85377809306 113684.61603635272 32791.374485750566 22212.275685670014 18237.534341355335 19169.538908407165 12487.147274014002 15.534719659097307 1.223 1.8687132314437775 -8.761488378031373 6.566302269429443
2459332.359608059 1800963.67674291 314164.695123758 282673.48258022155 113620.40571271915 32754.952489964533 22585.714522247654 17512.24958219676 18097.11232823477 11979.67327713083 15.410554692841613 1.223 -0.585230749741342 -6.4357355157165514 6.501186291902996
2459332.3597933548 1791541.2138538668 313124.2422115966 282111.1140897958 112138.45310333143 33371.3062629975 22229.65072838613 17893.584601108596 18165.97537111689 12295.181981210262 15.282885072504229 1.223 -3.0305512978187252 -7.754135503508941 6.519141950865613
2459332.3599788523 1826487.3741319762 318829.4055582001 288119.985332417 115752.14008217846 33827.048987541144 23057.817425922607 17458.885586468998 19016.70452487498 12172.030654125978 14.81613326149535 1.222 -4.486650394213854 -7.85106346524352 6.509365769714325
2459332.3601641743 1843211.654118948 321750.13190534804 291657.88867689634 116739.20272729434 34821.81852674371 22975.06824573349 17939.500324234963 19421.79177554864 12656.678150996508 14.496564448809977 1.222 -5.284963611836382 -7.992130436943221 6.404609605146322
2459332.3603496696 1814853.9702505267 317103.99589462543 286112.7890936325 113653.44866916932 32710.928753257394 23431.80431769126 17853.916288555163 18426.635756470394 12278.728154310767 14.264528780433762 1.222 -4.029761114146659 -7.925206056608943 6.523373573342411
2459332.3605350624 1786084.071323435 310353.94258186605 278852.13634062826 112294.07145997854 32542.86616082047 22669.698751825723 17579.30270829941 17440.231095596464 12659.952702551745 14.255540902735454 1.222 -3.4110556841180824 -9.012230115648364 6.563921562958033
2459332.360720529 1763206.1083100857 306435.60885788186 272288.92205248686 110379.2978055744 32653.566113721055 22165.102953102905 17309.35338115062 18303.48310154084 11423.535851951921 14.705459178057813 1.221 -1.4100992104868837 -7.08415218205905 6.6369967878525715
2459332.36090581 1755090.780691527 306038.835011838 274429.28859728295 110550.41877159088 31715.271805529977 22258.07699392036 17534.81544428553 17714.982986443516 12014.349924976981 15.112191154950457 1.221 1.329389446211323 -6.143153454895746 6.54235837279749
2459332.361091095 1779082.1826617862 311340.718374655 280936.31050577795 112592.28182616268 32835.26097230874 22472.92914885572 17714.07352976207 19076.540421646656 12894.926769488506 14.860122320937556 1.221 1.9862558295698847 -7.370752216352493 6.5423153596546895
2459332.3612763663 1767363.4897955265 310485.94447693205 278072.18949984235 111791.2614523468 32114.573081302588 22747.12229442534 17519.62811632776 18497.26815389667 12173.631943143118 15.161157361705087 1.221 2.303587186801046 -6.766744510869842 6.522326594666685
2459332.3614617335 1718106.8230235782 299271.6179030274 268320.94074590044 107985.29103712487 30893.709663262707 21135.451660317034 17094.646552973965 17494.783621177558 11587.59763207809 16.153054905399703 1.22 1.5573908558790635 -8.360103817811954 6.636693810024231
2459332.361646989 1697643.8740346888 296351.5357347437 267036.29780383164 107009.0865252452 31474.506051409524 21709.645442660985 16636.29850374382 17574.218207923084 12542.334938563698 17.255300078238214 1.22 0.07484084179492356 -8.826225924584072 6.5897024305480665
2459332.361832279 1538426.2758904356 266412.45294987777 240121.23101170757 97114.22229395695 28207.13340928928 19829.85214083208 15903.217976070402 15734.399165754818 10350.060261418097 21.617512822410156 1.22 -2.3073892915766905 -7.832073209966978 6.656935738158542
2459332.3620184017 1356715.3911353275 236761.38572311605 211649.6079031529 85972.96384601515 25674.585306449153 17077.91787709581 12951.289001692043 14708.817813511865 9446.309992255017 27.08268012139321 1.22 -3.7731533243425943 -5.81813518417443 6.688069912987568
2459332.362203658 642700.3526837514 116351.37979071253 99351.6110086721 40693.97625873759 12093.055282024172 -756.9902076953731 1381.850878742116 3832.0270576699113 635.8307066849957 41.08514248767793 1.22 -3.6278212599007205 -6.2513871582928004 7.0486999719070464
2459332.3623890923 1397330.4122756768 248446.95693496676 221215.5839317545 87953.19264056758 25104.696934317733 18639.267081995335 14023.800418674713 14385.931587345942 9775.849170619505 24.609977947460273 1.219 -2.581419430449415 -7.28331828968642 6.689615827423093
