pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_jmag,sy_jmagerr1,sy_jmagerr2
Kepler-1125 b,1,Published Confirmed,17.67006420,0.00011760,-0.00011760,0,,,,,,,,,1.840,0.300,-0.180,0,0.164,0.027,-0.016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.15,-0.09,0,0.95,0.08,-0.07,0,-0.090,0.159,-0.190,0,4.170,4.320,-2.490,0,13.6940000,0.0270000,-0.0270000
Kepler-1126 b,1,Published Confirmed,108.59332900,0.00100300,-0.00100300,0,,,,,,,,,1.730,0.210,-0.140,0,0.154,0.019,-0.012,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.11,-0.07,0,0.92,0.05,-0.06,0,-0.260,0.141,-0.152,0,5.500,3.440,-3.390,0,12.9660000,0.0260000,-0.0260000
Kepler-1127 b,1,Published Confirmed,5.12330347,0.00002272,-0.00002272,0,,,,,,,,,1.960,0.310,-0.420,0,0.175,0.028,-0.037,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.15,-0.07,0,0.97,0.04,-0.05,0,0.040,0.127,-0.155,0,4.370,4.320,-2.690,0,13.8610000,0.0230000,-0.0230000
Kepler-1128 b,1,Published Confirmed,61.61781670,0.00033370,-0.00033370,0,,,,,,,,,3.650,0.530,-0.340,0,0.326,0.047,-0.030,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.13,-0.06,0,0.94,0.04,-0.05,0,0.040,0.142,-0.159,0,4.570,5.520,-2.900,0,14.3830000,0.0290000,-0.0290000
Kepler-1129 b,1,Published Confirmed,24.33978040,0.00012980,-0.00012980,0,,,,,,,,,2.960,0.510,-0.330,0,0.264,0.045,-0.029,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.17,-0.10,0,1.00,0.06,-0.06,0,-0.040,0.147,-0.187,0,4.070,3.040,-2.330,0,14.1730000,0.0260000,-0.0260000
Kepler-1129 c,1,Published Confirmed,76.53695860,0.00075860,-0.00075860,0,,,,,,,,,2.730,0.460,-0.270,0,0.244,0.041,-0.024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.17,-0.10,0,1.00,0.06,-0.06,0,-0.040,0.147,-0.187,0,4.070,3.040,-2.330,0,14.1730000,0.0260000,-0.0260000
Kepler-113 b,1,Published Confirmed,4.75400000,,,0,,,,,11.70000,4.20000,-4.20000,0,1.820,0.050,-0.050,0,0.162,0.004,-0.004,0,11.70000,4.20000,-4.20000,0,0.03700,0.01300,-0.01300,0,Mass,10.73000,3.90000,-3.90000,0,,,,,,,,,,,,,0.0800,0.0600,-0.0600,0,0.69,0.02,-0.02,0,0.75,0.06,-0.06,0,0.050,0.070,-0.070,0,6.890,,,0,11.8860000,0.0270000,-0.0270000
Kepler-113 c,1,Published Confirmed,8.92507000,,,0,,,,,8.70000,,,1,2.180,0.060,-0.060,0,0.194,0.005,-0.005,0,8.70000,,,1,0.02737,,,1,Mass,,,,,,,,,,,,,,,,,0.5600,0.0200,-0.0200,0,0.69,0.02,-0.02,0,0.75,0.06,-0.06,0,0.050,0.070,-0.070,0,6.890,,,0,11.8860000,0.0270000,-0.0270000
Kepler-1130 b,1,Published Confirmed,5.45298175,0.00001294,-0.00001294,0,,,,,,,,,0.800,0.160,-0.030,0,0.071,0.014,-0.003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.01,-0.01,0,0.90,0.02,-0.02,0,-0.060,0.088,-0.081,0,1.580,0.776,-0.369,0,11.1370000,0.0230000,-0.0230000
Kepler-1130 c,1,Published Confirmed,3.26663995,,,0,,,,,,,,,0.792,,,0,0.071,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.09,-0.03,0,0.94,0.04,-0.07,0,0.100,0.150,-0.150,0,,,,0,11.1370000,0.0230000,-0.0230000
Kepler-1130 d,1,Published Confirmed,4.27225017,,,0,,,,,,,,,0.645,,,0,0.058,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.09,-0.03,0,0.94,0.04,-0.07,0,0.100,0.150,-0.150,0,,,,0,11.1370000,0.0230000,-0.0230000
Kepler-1131 b,1,Published Confirmed,3.53232449,0.00001266,-0.00001266,0,,,,,,,,,1.590,0.360,-0.150,0,0.142,0.032,-0.013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,0.23,-0.10,0,1.03,0.06,-0.06,0,0.050,0.148,-0.174,0,4.170,2.580,-2.410,0,13.7940000,0.0220000,-0.0220000
Kepler-1132 b,1,Published Confirmed,62.89162280,0.00045230,-0.00045230,0,,,,,,,,,2.350,0.190,-0.170,0,0.210,0.017,-0.015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.06,-0.05,0,0.87,0.04,-0.05,0,-0.010,0.162,-0.170,0,4.570,6.550,-2.880,0,14.1670000,0.0280000,-0.0280000
Kepler-1133 b,1,Published Confirmed,11.55562343,0.00003409,-0.00003409,0,,,,,,,,,1.970,0.240,-0.150,0,0.176,0.021,-0.013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90,0.10,-0.06,0,0.93,0.05,-0.06,0,-0.020,0.138,-0.160,0,4.070,4.800,-2.410,0,13.5960000,0.0220000,-0.0220000
Kepler-1134 b,1,Published Confirmed,17.13263989,0.00008204,-0.00008204,0,,,,,,,,,2.640,0.210,-0.260,0,0.236,0.019,-0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.06,-0.06,0,0.84,0.05,-0.05,0,-0.100,0.158,-0.179,0,4.900,6.090,-3.130,0,14.4260000,0.0320000,-0.0320000
Kepler-1135 b,1,Published Confirmed,76.95785700,0.00071040,-0.00071040,0,,,,,,,,,1.850,0.330,-0.160,0,0.165,0.029,-0.014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.17,-0.07,0,0.96,0.04,-0.05,0,0.020,0.132,-0.165,0,4.470,4.780,-2.700,0,13.1610000,0.0210000,-0.0210000
Kepler-1136 b,1,Published Confirmed,2.36172433,0.00000365,-0.00000365,0,,,,,,,,,1.640,0.100,-0.090,0,0.146,0.009,-0.008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.02,-0.03,0,0.72,0.03,-0.04,0,0.030,0.155,-0.171,0,3.240,6.010,-1.700,0,13.8690000,0.0280000,-0.0280000
Kepler-1137 b,1,Published Confirmed,23.92107910,0.00013790,-0.00013790,0,,,,,,,,,2.200,0.830,-0.400,0,0.196,0.074,-0.036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,0.69,-0.33,0,1.50,0.23,-0.14,0,0.050,0.126,-0.157,0,1.580,0.360,-0.270,0,11.9170000,0.0200000,-0.0200000
Kepler-1138 b,1,Published Confirmed,3.17060005,0.00001019,-0.00001019,0,,,,,,,,,1.700,0.240,-0.130,0,0.152,0.021,-0.012,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,0.13,-0.06,0,0.95,0.04,-0.04,0,0.040,0.135,-0.153,0,4.370,5.540,-2.700,0,14.1350000,0.0300000,-0.0300000
Kepler-1139 b,1,Published Confirmed,0.81316672,0.00000125,-0.00000125,0,,,,,,,,,1.190,0.170,-0.080,0,0.106,0.015,-0.007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.12,-0.06,0,0.94,0.04,-0.05,0,0.050,0.128,-0.152,0,4.470,5.370,-2.780,0,12.7480000,0.0240000,-0.0240000
Kepler-114 b,1,Published Confirmed,5.18854900,0.00001200,-0.00001200,0,0.053000,,,0,,,,,1.260,0.130,-0.130,0,0.112,0.012,-0.012,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.6900,0.3100,-0.3100,0,0.67,0.04,-0.04,0,,,,,,,,,,,,,12.0350000,0.0290000,-0.0290000
Kepler-114 c,1,Published Confirmed,8.04100000,,,0,,,,,2.80000,0.60000,-0.60000,0,1.600,0.180,-0.180,0,0.143,0.016,-0.016,0,2.80000,0.60000,-0.60000,0,0.00900,0.00200,-0.00200,0,Mass,,,,,,,,,,,,,,,,,,,,,0.54,0.06,-0.06,0,0.56,0.06,-0.06,0,,,,,,,,,12.0350000,0.0290000,-0.0290000
Kepler-114 d,1,Published Confirmed,11.77600000,,,0,,,,,3.90000,1.70000,-1.70000,0,2.530,0.280,-0.280,0,0.226,0.025,-0.025,0,3.90000,1.70000,-1.70000,0,0.01200,0.00500,-0.00500,0,Mass,,,,,,,,,,,,,,,,,,,,,0.54,0.06,-0.06,0,0.56,0.06,-0.06,0,,,,,,,,,12.0350000,0.0290000,-0.0290000
Kepler-1140 b,1,Published Confirmed,24.08627070,0.00010200,-0.00010200,0,,,,,,,,,2.770,0.450,-0.370,0,0.247,0.040,-0.033,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.03,-0.04,0,0.76,0.04,-0.04,0,-0.080,0.149,-0.180,0,5.010,5.850,-2.850,0,13.9460000,0.0210000,-0.0210000
Kepler-1141 b,1,Published Confirmed,2.34451194,0.00000535,-0.00000535,0,,,,,,,,,0.820,0.120,-0.080,0,0.073,0.011,-0.007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,0.15,-0.10,0,1.01,0.03,-0.04,0,0.040,0.087,-0.091,0,6.170,1.890,-3.220,0,11.3380000,0.0230000,-0.0230000
Kepler-1142 b,1,Published Confirmed,18.30272480,0.00013890,-0.00013890,0,,,,,,,,,1.470,0.430,-0.180,0,0.131,0.038,-0.016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.24,-0.08,0,0.97,0.05,-0.06,0,0.020,0.124,-0.171,0,5.370,3.920,-3.470,0,13.0310000,0.0230000,-0.0230000
Kepler-1143 b,1,Published Confirmed,2.88890485,0.00000694,-0.00000694,0,,,,,,,,,1.670,0.130,-0.110,0,0.149,0.012,-0.010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.05,-0.04,0,0.81,0.05,-0.05,0,-0.060,0.150,-0.171,0,4.790,5.710,-2.880,0,13.6790000,0.0240000,-0.0240000
