pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_jmag,sy_jmagerr1,sy_jmagerr2
TOI-3714 b,1,Published Confirmed,2.15484900,0.00000100,-0.00000100,0,0.027000,0.001000,-0.001000,0,222.47988,9.53485,-9.53485,0,11.321,0.336,-0.336,0,1.010,0.030,-0.030,0,222.47988,9.53485,-9.53485,0,0.70000,0.03000,-0.03000,0,Mass,0.85000,0.08000,-0.08000,0,0.030000,0.030000,-0.020000,0,54.00,4.00,-5.00,0,750,20,-20,0,0.2600,0.0800,-0.1000,0,0.51,0.01,-0.01,0,0.53,0.02,-0.02,0,0.100,0.100,-0.100,0,2.900,2.200,-2.200,0,11.7360000,0.0200000,-0.0200000
TOI-3757 b,1,Published Confirmed,3.43875300,0.00000400,-0.00000400,0,0.038450,0.000430,-0.000430,0,85.30000,8.80000,-8.70000,0,12.000,0.400,-0.500,0,1.071,0.036,-0.045,0,85.30000,8.80000,-8.70000,0,0.26838,0.02769,-0.02737,0,Mass,0.27000,0.05000,-0.04000,0,0.140000,0.060000,-0.060000,0,55.40,3.80,-3.80,0,759,13,-13,0,,,,,0.62,0.01,-0.01,0,0.64,0.02,-0.02,0,0.000,0.200,-0.200,0,7.100,4.500,-4.500,0,12.0000000,0.0290000,-0.0290000
TOI-3807 b,1,Published Confirmed,2.89897270,0.00000380,-0.00000390,0,0.042100,0.000700,-0.001100,0,330.54154,47.67426,-44.49598,0,18.495,,,-1,1.650,,,-1,330.54154,47.67426,-44.49598,0,1.04000,0.15000,-0.14000,0,Mass,0.28900,,,1,0.000000,,,0,1230.00,73.00,-73.00,0,1646,25,-24,0,1.0000,,,-1,1.47,0.04,-0.04,0,1.18,0.06,-0.09,0,0.278,0.084,-0.081,0,5.600,2.700,-1.500,0,10.9560000,0.0270000,-0.0270000
TOI-3819 b,1,Published Confirmed,3.24431410,0.00000550,-0.00000550,0,0.046110,0.000690,-0.000960,0,352.78953,57.20911,-63.56568,0,13.137,0.404,-0.392,0,1.172,0.036,-0.035,0,352.78953,57.20911,-63.56568,0,1.11000,0.18000,-0.20000,0,Mass,0.85000,0.17000,-0.17000,0,0.000000,,,0,1186.00,61.00,-55.00,0,1633,21,-19,0,0.8080,0.0120,-0.0130,0,1.54,0.04,-0.04,0,1.24,0.06,-0.08,0,0.273,0.084,-0.082,0,4.500,1.600,-1.100,0,11.3980000,0.0200000,-0.0200000
TOI-3884 b,1,Published Confirmed,4.54456970,0.00000940,-0.00000940,0,0.035400,0.001400,-0.001400,0,16.50000,3.50000,-1.80000,0,6.000,0.180,-0.180,0,0.535,0.016,-0.016,0,16.50000,3.50000,-1.80000,0,0.05191,0.01101,-0.00566,0,Mass,0.42400,0.10000,-0.06100,0,0.320000,,,1,7.42,0.77,-0.77,0,463,12,-12,0,-0.0400,0.1300,-0.1300,0,0.30,0.01,-0.01,0,0.28,0.01,-0.01,0,0.230,0.120,-0.120,0,,,,,11.1270000,0.0210000,-0.0210000
TOI-3912 b,1,Published Confirmed,3.49362640,0.00000380,-0.00000380,0,0.046300,0.001200,-0.001000,0,129.03833,22.56582,-21.61233,0,14.280,0.460,-0.448,0,1.274,0.041,-0.040,0,129.03833,22.56582,-21.61233,0,0.40600,0.07100,-0.06800,0,Mass,0.24300,0.05300,-0.04700,0,0.000000,,,0,872.20,47.80,-46.30,0,1512,20,-20,0,0.5440,0.0450,-0.0520,0,1.39,0.04,-0.03,0,1.09,0.09,-0.07,0,0.187,0.087,-0.090,0,7.500,2.800,-2.500,0,11.2700000,0.0210000,-0.0210000
TOI-3976 A b,1,Published Confirmed,6.60766200,0.00001600,-0.00001500,0,0.074300,0.001300,-0.001400,0,55.61997,11.75965,-11.44182,0,12.274,0.404,-0.392,0,1.095,0.036,-0.035,0,55.61997,11.75965,-11.44182,0,0.17500,0.03700,-0.03600,0,Mass,0.16500,0.04100,-0.03700,0,0.000000,,,0,469.00,23.00,-20.00,0,1295,16,-14,0,0.5050,0.0490,-0.0590,0,1.50,0.04,-0.04,0,1.25,0.07,-0.07,0,0.182,0.078,-0.079,0,3.800,1.500,-1.300,0,11.2380000,0.0210000,-0.0210000
TOI-4010 b,1,Published Confirmed,1.34833500,0.00000300,-0.00000200,0,0.022900,0.000200,-0.000200,0,11.00000,1.29000,-1.27000,0,3.020,0.080,-0.080,0,0.269,0.007,-0.007,0,11.00000,1.29000,-1.27000,0,0.03461,0.00406,-0.00400,0,Mass,2.20000,0.30000,-0.30000,0,0.030000,0.030000,-0.020000,0,714.00,28.00,-26.00,0,1441,14,-13,0,0.1900,0.1200,-0.1300,0,0.83,0.01,-0.01,0,0.88,0.03,-0.03,0,0.370,0.070,-0.070,0,6.100,3.100,-3.100,0,10.6490000,0.0270000,-0.0270000
TOI-4010 c,1,Published Confirmed,5.41465400,0.00000700,-0.00000700,0,0.058000,0.001000,-0.001000,0,20.31000,2.13000,-2.11000,0,5.930,0.110,-0.120,0,0.529,0.010,-0.011,0,20.31000,2.13000,-2.11000,0,0.06390,0.00670,-0.00664,0,Mass,0.50000,0.10000,-0.10000,0,0.030000,0.030000,-0.020000,0,112.00,4.00,-4.00,0,907,9,-8,0,0.3100,0.0900,-0.1500,0,0.83,0.01,-0.01,0,0.88,0.03,-0.03,0,0.370,0.070,-0.070,0,6.100,3.100,-3.100,0,10.6490000,0.0270000,-0.0270000
TOI-4010 d,1,Published Confirmed,14.70886000,0.00003000,-0.00003000,0,0.113000,0.001000,-0.001000,0,38.15000,3.27000,-3.22000,0,6.180,0.140,-0.150,0,0.551,0.012,-0.013,0,38.15000,3.27000,-3.22000,0,0.12003,0.01029,-0.01013,0,Mass,0.90000,0.10000,-0.10000,0,0.070000,0.030000,-0.030000,0,30.00,1.00,-1.00,0,650,6,-6,0,0.5100,0.0600,-0.0800,0,0.83,0.01,-0.01,0,0.88,0.03,-0.03,0,0.370,0.070,-0.070,0,6.100,3.100,-3.100,0,10.6490000,0.0270000,-0.0270000
