pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,sy_dist,sy_disterr1,sy_disterr2,sy_jmag,sy_jmagerr1,sy_jmagerr2
Kepler-538 b,1,Published Confirmed,81.73778000,0.00013000,-0.00013000,0,0.355400,0.006800,-0.004700,0,2.215,0.040,-0.034,0,0.198,0.004,-0.003,0,12.90000,2.90000,-2.90000,0,0.04059,0.00912,-0.00912,0,Mass,6.50000,1.50000,-1.50000,0,0.210000,,,1,5.07,0.29,-0.29,0,417,5,-5,0,89.730,0.140,-0.060,0,,,,,5534.00,61.00,-61.00,0,0.87,0.01,-0.01,0,0.89,0.05,-0.04,0,-0.090,0.065,-0.065,0,,,,,,,,,5.300,2.400,-3.000,0,,,,,155.9560000,0.7090000,-0.7030000,10.0260000,0.0240000,-0.0240000
Kepler-539 b,1,Published Confirmed,125.63243000,0.00071000,-0.00071000,0,0.498800,0.006700,-0.006700,0,8.373,0.191,-0.191,0,0.747,0.017,-0.017,0,308.29510,92.17070,-92.17070,0,0.97000,0.29000,-0.29000,0,Mass,2.90000,0.88000,-0.88000,0,0.390000,,,1,,,,,388,6,-6,0,89.845,0.086,-0.086,0,,,,,5820.00,80.00,-80.00,0,0.95,0.02,-0.02,0,1.05,0.04,-0.04,0,-0.010,0.070,-0.070,0,,,,,4.50,0.01,-0.01,0,,,,,11.77,0.02,-0.02,0,307.3180000,3.5700000,-3.4890000,11.2940000,0.0210000,-0.0210000
Kepler-56 b,1,Published Confirmed,10.50160000,0.00110000,-0.00100000,0,0.102800,0.003700,-0.003700,0,6.510,0.290,-0.280,0,0.581,0.026,-0.025,0,22.10000,3.90000,-3.60000,0,0.07000,0.01200,-0.01100,0,Mass,0.44200,0.08000,-0.07200,0,,,,,,,,,,,,,,,,,,,,,4840.00,97.00,-97.00,0,4.23,0.15,-0.15,0,1.32,0.13,-0.13,0,0.200,0.160,-0.160,0,,,,,3.31,0.01,-0.01,0,3.500,1.300,-1.300,0,,,,,912.9940000,23.5465000,-23.5465000,10.8130000,0.0200000,-0.0200000
Kepler-56 c,1,Published Confirmed,21.40239000,0.00059000,-0.00062000,0,0.165200,0.005900,-0.005900,0,9.800,0.460,-0.460,0,0.874,0.041,-0.041,0,181.00000,21.00000,-19.00000,0,0.57000,0.06600,-0.06000,0,Mass,1.06000,0.14000,-0.13000,0,,,,,,,,,,,,,,,,,,,,,4840.00,97.00,-97.00,0,4.23,0.15,-0.15,0,1.32,0.13,-0.13,0,0.200,0.160,-0.160,0,,,,,3.31,0.01,-0.01,0,3.500,1.300,-1.300,0,,,,,912.9940000,23.5465000,-23.5465000,10.8130000,0.0200000,-0.0200000
Kepler-57 b,1,Published Confirmed,5.72931960,0.00001800,-0.00001800,0,,,,,2.190,,,0,0.195,,,0,115.00000,,,1,0.36183,,,1,Mass,,,,,,,,,,,,,,,,,,,,,,,,,5145.00,,,0,0.73,,,0,0.83,,,0,,,,,,,,,4.63,,,0,,,,,,,,,644.1400000,8.6285000,-8.6285000,13.4370000,0.0240000,-0.0240000
Kepler-57 c,1,Published Confirmed,11.60925670,0.00008600,-0.00008600,0,,,,,1.550,,,0,0.138,,,0,9.10000,,,1,0.02863,,,1,Mass,,,,,,,,,,,,,,,,,,,,,,,,,5145.00,,,0,0.73,,,0,0.83,,,0,,,,,,,,,4.63,,,0,,,,,,,,,644.1400000,8.6285000,-8.6285000,13.4370000,0.0240000,-0.0240000
Kepler-58 b,1,Published Confirmed,10.21849540,0.00015000,-0.00015000,0,,,,,2.780,,,0,0.248,,,0,35.50000,,,1,0.11170,,,1,Mass,,,,,,,,,,,,,,,,,,,,,,,,,5843.00,,,0,1.03,,,0,0.95,,,0,,,,,,,,,4.39,,,0,,,,,,,,,969.2520000,24.4780000,-23.3200000,13.6430000,0.0230000,-0.0230000
Kepler-58 c,1,Published Confirmed,15.57415680,0.00027000,-0.00027000,0,,,,,2.860,,,0,0.255,,,0,53.00000,,,1,0.16676,,,1,Mass,,,,,,,,,,,,,,,,,,,,,,,,,5843.00,,,0,1.03,,,0,0.95,,,0,,,,,,,,,4.39,,,0,,,,,,,,,969.2520000,24.4780000,-23.3200000,13.6430000,0.0230000,-0.0230000
Kepler-595 b,1,Published Confirmed,25.30290920,0.00000600,-0.00000600,0,,,,,3.708,0.010,-0.010,0,0.331,0.001,-0.001,0,17.40000,7.10000,-3.80000,0,0.05475,0.02234,-0.01196,0,Mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.24,-0.24,0,0.93,0.06,-0.06,0,,,,,,,,,,,,,,,,,,,,,643.0090000,7.6335000,-7.6335000,13.3350000,0.0230000,-0.0230000
Kepler-595 c,1,Published Confirmed,12.38602000,0.00000500,-0.00000500,0,,,,,1.009,0.024,-0.024,0,0.090,0.002,-0.002,0,3.30000,1.70000,-1.00000,0,0.01038,0.00535,-0.00315,0,Mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.24,-0.24,0,0.93,0.06,-0.06,0,,,,,,,,,,,,,,,,,,,,,643.0090000,7.6335000,-7.6335000,13.3350000,0.0230000,-0.0230000
Kepler-6 b,1,Published Confirmed,3.23469960,0.00000040,-0.00000040,0,0.048520,0.000740,-0.001330,0,14.617,0.202,-0.370,0,1.304,0.018,-0.033,0,212.31044,12.07754,-11.12405,0,0.66800,0.03800,-0.03500,0,Mass,0.40000,0.06000,-0.04000,0,,,,,,,,,1460,10,-10,0,88.930,0.190,-0.170,0,0.1410,0.0220,-0.0250,0,5647.00,44.00,-44.00,0,1.39,0.02,-0.03,0,1.21,0.04,-0.04,0,0.340,0.040,-0.040,0,,,,,4.24,0.01,-0.01,0,,,,,,,,,587.0390000,5.0710000,-4.9860000,12.0010000,0.0210000,-0.0210000
Kepler-60 b,1,Published Confirmed,7.13340000,0.00010000,-0.00010000,0,,,,,1.710,0.130,-0.130,0,0.153,0.012,-0.012,0,4.19000,0.56000,-0.52000,0,0.01318,0.00176,-0.00164,0,Mass,4.62000,1.40000,-1.10000,0,,,,,318.00,52.00,-52.00,0,,,,,,,,,,,,,5905.00,144.00,-144.00,0,1.26,0.09,-0.09,0,1.04,0.08,-0.08,0,-0.090,0.100,-0.100,0,,,,,,,,,,,,,,,,,1025.1000000,19.9700000,-19.2200000,12.8040000,0.0230000,-0.0230000
Kepler-60 c,1,Published Confirmed,8.91870000,0.00020000,-0.00020000,0,,,,,1.900,0.150,-0.150,0,0.170,0.013,-0.013,0,3.85000,0.81000,-0.81000,0,0.01211,0.00255,-0.00255,0,Mass,3.06000,1.14000,-0.86000,0,,,,,236.00,39.00,-39.00,0,,,,,,,,,,,,,5905.00,144.00,-144.00,0,1.26,0.09,-0.09,0,1.04,0.08,-0.08,0,-0.090,0.100,-0.100,0,,,,,,,,,,,,,,,,,1025.1000000,19.9700000,-19.2200000,12.8040000,0.0230000,-0.0230000
Kepler-60 d,1,Published Confirmed,11.89810000,0.00020000,-0.00020000,0,,,,,1.990,0.160,-0.160,0,0.178,0.014,-0.014,0,4.16000,0.84000,-0.75000,0,0.01309,0.00264,-0.00236,0,Mass,2.91000,1.03000,-0.78000,0,,,,,161.00,27.00,-27.00,0,,,,,,,,,,,,,5905.00,144.00,-144.00,0,1.26,0.09,-0.09,0,1.04,0.08,-0.08,0,-0.090,0.100,-0.100,0,,,,,,,,,,,,,,,,,1025.1000000,19.9700000,-19.2200000,12.8040000,0.0230000,-0.0230000
Kepler-62 b,1,Published Confirmed,5.71493200,0.00000900,-0.00000900,0,0.055300,0.000500,-0.000500,0,1.310,0.040,-0.040,0,0.117,0.004,-0.004,0,9.00000,,,1,0.03000,,,1,Mass,,,,,,,,,,,,,750,41,-41,0,89.200,0.400,-0.400,0,0.2500,0.1300,-0.1300,0,4925.00,70.00,-70.00,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0,-0.370,0.040,-0.040,0,-0.678,0.040,-0.043,0,4.68,0.04,-0.04,0,7.000,4.000,-4.000,0,,,,,300.8740000,1.2190000,-1.2190000,12.2560000,0.0220000,-0.0220000
Kepler-62 c,1,Published Confirmed,12.44170000,0.00010000,-0.00010000,0,0.092900,0.000900,-0.000900,0,0.540,0.030,-0.030,0,0.048,0.003,-0.003,0,4.00000,,,1,0.01300,,,1,Mass,,,,,,,,,,,,,578,31,-31,0,89.700,0.200,-0.200,0,0.1600,0.0900,-0.0900,0,4925.00,70.00,-70.00,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0,-0.370,0.040,-0.040,0,-0.678,0.040,-0.043,0,4.68,0.04,-0.04,0,7.000,4.000,-4.000,0,,,,,300.8740000,1.2190000,-1.2190000,12.2560000,0.0220000,-0.0220000
Kepler-62 d,1,Published Confirmed,18.16406000,0.00002000,-0.00002000,0,0.120000,0.001000,-0.001000,0,1.950,0.070,-0.070,0,0.174,0.006,-0.006,0,14.00000,,,1,0.04400,,,1,Mass,,,,,,,,,,,,,510,28,-28,0,89.700,0.300,-0.300,0,0.2200,0.1300,-0.1300,0,4925.00,70.00,-70.00,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0,-0.370,0.040,-0.040,0,-0.678,0.040,-0.043,0,4.68,0.04,-0.04,0,7.000,4.000,-4.000,0,,,,,300.8740000,1.2190000,-1.2190000,12.2560000,0.0220000,-0.0220000
