pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim
CoRoT-10 b,1,1,Transit,2010,CoRoT,Published Confirmed,13.24060000,0.00020000,-0.00020000,0,0.105500,0.001900,-0.002000,0,10.873,0.785,-0.785,0,0.970,0.070,-0.070,0,867.67590,44.49620,-44.49620,0,2.73000,0.14000,-0.14000,0,3.69000,0.96000,-0.70000,0,0.524000,0.018000,-0.018000,0,,,,,,,,,,,,,,,,,,,,,,5075.00,75.00,-75.00,0,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0,0.260,0.070,-0.070,0
CoRoT-10 b,1,1,Transit,2010,CoRoT,Published Confirmed,13.24060000,0.00020000,-0.00020000,0,0.105500,0.002100,-0.002100,0,10.870,0.780,-0.780,0,0.970,0.070,-0.070,0,874.00000,50.85000,-50.85000,0,2.75000,0.16000,-0.16000,0,3.70000,0.83000,-0.83000,0,0.530000,0.040000,-0.040000,0,,,,,600,23,-23,0,0.8500,0.0300,-0.0300,0,1.610360,0.097888,-0.095000,0,0.12690,0.00380,-0.00380,0,K1 V,5075.00,75.00,-75.00,0,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0,0.260,0.070,-0.070,0
CoRoT-11 b,1,1,Transit,2010,CoRoT,Published Confirmed,2.99433000,0.00001100,-0.00001100,0,0.044000,0.001600,-0.001600,0,15.984,0.650,-0.650,0,1.426,0.058,-0.058,0,743.72220,123.95370,-123.95370,0,2.34000,0.39000,-0.39000,0,1.00000,0.20000,-0.20000,0,,,,,,,,,1735,34,-34,0,,,,,,,,,,,,,,6440.00,120.00,-120.00,0,1.37,0.06,-0.06,0,1.26,0.14,-0.14,0,-0.030,0.080,-0.080,0
CoRoT-11 b,1,1,Transit,2010,CoRoT,Published Confirmed,2.99432500,0.00002100,-0.00002100,0,0.044070,0.000560,-0.000590,0,16.029,0.336,-0.336,0,1.430,0.030,-0.030,0,832.71460,187.51970,-197.05460,0,2.62000,0.59000,-0.62000,0,1.11000,0.26000,-0.27000,0,0.360000,,,1,,,,,,,,,,,,,,,,,,,,,,6440.00,120.00,-120.00,0,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0,0.030,0.080,-0.080,0
CoRoT-11 b,1,1,Transit,2010,CoRoT,Published Confirmed,2.99433000,0.00001100,-0.00001100,0,0.043600,0.005000,-0.005000,0,16.030,0.340,-0.340,0,1.430,0.030,-0.030,0,740.51000,108.06000,-108.06000,0,2.33000,0.34000,-0.34000,0,0.99000,0.15000,-0.15000,0,0.000000,,,0,,,,,1657,55,-55,0,0.8180,0.0080,-0.0080,0,1.144900,0.010725,-0.010675,0,0.10700,0.00050,-0.00050,0,F6 V,6440.00,120.00,-120.00,0,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0,-0.030,0.080,-0.080,0
CoRoT-11 b,1,1,Transit,2010,CoRoT,Published Confirmed,2.99432500,0.00002100,-0.00002100,0,0.043510,0.000360,-0.000360,0,15.581,0.370,-0.370,0,1.390,0.033,-0.033,0,791.39670,85.81410,-85.81410,0,2.49000,0.27000,-0.27000,0,0.93000,0.12000,-0.12000,0,0.000000,,,0,,,,,1715,36,-36,0,0.8108,0.0077,-0.0077,0,1.160000,0.023000,-0.023000,0,,,,,,,,,,1.33,0.04,-0.04,0,1.23,0.03,-0.03,0,,,,
CoRoT-12 b,1,1,Transit,2010,CoRoT,Published Confirmed,2.82804200,0.00001300,-0.00001300,0,0.040160,0.000930,-0.000920,0,16.140,1.460,-1.460,0,1.440,0.130,-0.130,0,291.43800,22.24700,-20.65800,0,0.91700,0.07000,-0.06500,0,0.41100,0.12900,-0.09400,0,0.070000,0.063000,-0.042000,0,,,,,1442,58,-58,0,0.5730,0.0270,-0.0300,0,1.744000,0.039000,-0.040000,0,,,,,,5675.00,80.00,-80.00,0,1.12,0.10,-0.09,0,1.08,0.08,-0.07,0,0.160,0.100,-0.100,0
CoRoT-12 b,1,1,Transit,2010,CoRoT,Published Confirmed,2.82805268,0.00000065,-0.00000065,0,0.039200,0.001300,-0.001300,0,15.065,0.829,-0.796,0,1.344,0.074,-0.071,0,277.46559,25.74423,-24.79074,0,0.87300,0.08100,-0.07800,0,0.44700,0.08500,-0.08200,0,,,,,,,,,1417,20,-20,0,0.6040,0.0600,-0.0570,0,,,,,0.13140,0.00150,-0.00150,0,,,,,,1.05,0.05,-0.05,0,1.00,0.10,-0.10,0,,,,
CoRoT-12 b,1,1,Transit,2010,CoRoT,Published Confirmed,2.82804200,0.00001300,-0.00001300,0,0.039400,0.001200,-0.001200,0,15.132,0.841,-0.841,0,1.350,0.075,-0.075,0,281.91521,25.10857,-25.10857,0,0.88700,0.07900,-0.07900,0,0.44800,0.06900,-0.06900,0,,,,,,,,,1410,28,-28,0,,,,,,,,,,,,,,5675.00,80.00,-80.00,0,1.05,0.04,-0.04,0,1.02,0.09,-0.09,0,0.160,0.100,-0.100,0
CoRoT-12 b,1,1,Transit,2010,CoRoT,Published Confirmed,2.82804200,0.00001300,-0.00001300,0,0.040130,0.000900,-0.000930,0,16.141,1.457,-1.457,0,1.440,0.130,-0.130,0,290.81445,22.56593,-21.93027,0,0.91500,0.07100,-0.06900,0,0.38100,0.13000,-0.09100,0,0.050000,,,1,,,,,,,,,,,,,,,,,,,,,,5675.00,80.00,-80.00,0,1.12,0.10,-0.09,0,1.08,0.08,-0.07,0,0.160,0.100,-0.100,0
