pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_jmag,sy_jmagerr1,sy_jmagerr2
2MASS J12073346-3932539 b,1,Published Confirmed,,,,,55.000000,,,0,1589.15000,635.66000,-635.66000,0,,,,,,,,,1589.15000,635.66000,-635.66000,0,5.00000,2.00000,-2.00000,0,Mass,,,,,,,,,,,,,1250,200,-200,0,,,,,,,,,0.02,,,0,,,,,0.008,0.004,-0.003,0,12.9950000,0.0260000,-0.0260000
2MASS J12073346-3932539 b,0,Published Confirmed,,,,,46.000000,5.000000,-5.000000,0,1271.00000,318.00000,-318.00000,0,,,,,,,,,1271.00000,318.00000,-318.00000,0,4.00000,1.00000,-1.00000,0,Mass,,,,,,,,,,,,,1150,150,-150,0,,,,,0.22,0.01,-0.01,0,0.19,0.02,-0.02,0,,,,,,,,,12.9950000,0.0260000,-0.0260000
2MASS J19383260+4603591 b,1,Published Confirmed,406.00000000,4.00000000,-4.00000000,0,,,,,591.16084,15.89142,-15.89142,0,,,,,,,,,,,,,1.86000,0.05000,-0.05000,0,Msini,,,,,0.330000,0.050000,-0.050000,0,,,,,,,,,,,,,0.20,0.00,0.00,0,0.48,,,0,,,,,,,,,12.7570000,0.0220000,-0.0220000
2MASS J19383260+4603591 b,0,Published Confirmed,416.00000000,2.00000000,-2.00000000,0,0.920000,0.020000,-0.020000,0,603.87700,31.78300,-31.78300,0,,,,,,,,,603.87700,31.78300,-31.78300,0,1.90000,0.10000,-0.10000,0,Mass,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.03,-0.03,0,,,,,,,,,12.7570000,0.0220000,-0.0220000
2MASS J22362452+4751425 b,1,Published Confirmed,,,,,230.000000,20.000000,-20.000000,0,3972.87500,476.74500,-476.74500,0,,,,,,,,,3972.87500,476.74500,-476.74500,0,12.50000,1.50000,-1.50000,0,Mass,,,,,,,,,,,,,,,,,,,,,,,,,0.60,0.05,-0.05,0,,,,,0.120,0.010,-0.010,0,9.9750000,0.0220000,-0.0220000
30 Ari B b,0,Published Confirmed,335.10000000,2.50000000,-2.50000000,0,0.995000,0.012000,-0.012000,0,3140.03000,298.75000,-298.75000,0,,,,,,,,,,,,,9.88000,0.94000,-0.94000,0,Msini,,,,,0.289000,0.092000,-0.092000,0,,,,,,,,,,,,,1.13,0.03,-0.03,0,1.16,0.04,-0.04,0,0.245,0.195,-0.195,0,0.910,0.830,-0.830,0,6.0800000,0.0200000,-0.0200000
30 Ari B b,0,Published Confirmed,345.40000000,3.80000000,-3.80000000,0,1.010000,0.010000,-0.010000,0,2097.67800,286.04700,-286.04700,0,,,,,,,,,,,,,6.60000,0.90000,-0.90000,0,Msini,,,,,0.180000,0.110000,-0.110000,0,,,,,,,,,,,,,1.13,0.03,-0.03,0,1.16,0.04,-0.04,0,,,,,,,,,6.0800000,0.0200000,-0.0200000
30 Ari B b,1,Published Confirmed,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,4392.41060,572.09400,-572.09400,0,,,,,,,,,,,,,13.82000,1.80000,-1.80000,0,Msini,,,,,0.290000,0.090000,-0.090000,0,,,,,,,,,,,,,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0,0.190,,,0,,,,,6.0800000,0.0200000,-0.0200000
4 UMa b,1,Published Confirmed,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,2256.50000,508.50000,-508.50000,0,,,,,,,,,,,,,7.10000,1.60000,-1.60000,0,Msini,,,,,0.432000,0.024000,-0.024000,0,,,,,,,,,,,,,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0,-0.250,0.040,-0.040,0,4.604,2.000,-2.000,0,2.6190000,0.2900000,-0.2900000
42 Dra b,1,Published Confirmed,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,1233.13000,270.14000,-270.14000,0,,,,,,,,,,,,,3.88000,0.85000,-0.85000,0,Msini,,,,,0.380000,0.060000,-0.060000,0,,,,,,,,,,,,,22.03,1.00,-1.00,0,0.98,0.05,-0.05,0,-0.460,0.050,-0.050,0,9.490,1.760,-1.760,0,2.9490000,0.2340000,-0.2340000
47 UMa b,0,Published Confirmed,1076.60000000,2.30000000,-2.30000000,0,2.100000,0.022000,-0.022000,0,778.68350,31.78300,-31.78300,0,,,,,,,,,,,,,2.45000,0.10000,-0.10000,0,Msini,,,,,0.012000,0.023000,-0.023000,0,,,,,,,,,,,,,,,,,1.06,0.03,-0.03,0,0.040,0.030,-0.030,0,,,,,3.9600000,0.2960000,-0.2960000
47 UMa b,1,Published Confirmed,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,804.08000,22.25000,-19.07000,0,,,,,,,,,,,,,2.53000,0.07000,-0.06000,0,Msini,,,,,0.032000,0.014000,-0.014000,0,,,,,,,,,,,,,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.040,0.100,-0.100,0,,,,,3.9600000,0.2960000,-0.2960000
47 UMa b,0,Published Confirmed,1100.80000000,7.20000000,-7.20000000,0,2.110000,,,0,877.17000,31.78000,-31.78000,0,,,,,,,,,,,,,2.76000,0.10000,-0.10000,0,Msini,,,,,0.097000,0.039000,-0.039000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9600000,0.2960000,-0.2960000
