pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,sy_dist,sy_disterr1,sy_disterr2,sy_jmag,sy_jmagerr1,sy_jmagerr2
Kepler-1443 b,1,Published Confirmed,2.41811321,0.00001443,-0.00001443,0,,,,,0.970,0.220,-0.090,0,0.087,0.020,-0.008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6289.00,83.36,-68.31,0,1.27,0.12,-0.09,0,1.19,0.05,-0.05,0,0.000,0.077,-0.080,0,,,,,4.30,0.06,-0.07,0,2.630,0.774,-0.948,0,,,,,593.6460000,21.9540000,-20.4680000,11.3370000,0.0280000,-0.0280000
Kepler-1444 b,1,Published Confirmed,33.42035034,0.00009305,-0.00009305,0,,,,,2.180,0.410,-0.190,0,0.194,0.037,-0.017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5810.00,85.52,-70.49,0,1.05,0.12,-0.08,0,1.03,0.04,-0.04,0,0.060,0.100,-0.087,0,,,,,4.40,0.07,-0.09,0,4.790,2.310,-2.640,0,,,,,319.6750000,2.1360000,-2.1080000,11.1950000,0.0220000,-0.0220000
Kepler-1445 b,1,Published Confirmed,10.60052251,0.00009265,-0.00009265,0,,,,,0.960,0.200,-0.130,0,0.086,0.018,-0.012,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6150.00,71.30,-60.88,0,1.26,0.26,-0.15,0,1.13,0.07,-0.06,0,-0.030,0.084,-0.111,0,,,,,4.28,0.11,-0.13,0,3.800,0.970,-1.390,0,,,,,506.3570000,6.7040000,-6.5340000,11.4360000,0.0290000,-0.0290000
Kepler-1446 b,1,Published Confirmed,0.68996783,0.00000050,-0.00000050,0,,,,,0.820,0.040,-0.020,0,0.073,0.004,-0.002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4865.00,43.69,-52.46,0,0.75,0.01,-0.01,0,0.81,0.02,-0.02,0,0.110,0.102,-0.097,0,,,,,4.60,0.01,-0.01,0,2.630,2.420,-1.120,0,,,,,152.0750000,0.6770000,-0.6710000,10.7970000,0.0210000,-0.0210000
Kepler-1447 b,1,Published Confirmed,56.67472850,0.00039780,-0.00039780,0,,,,,2.900,0.500,-0.240,0,0.259,0.045,-0.021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5722.00,108.69,-88.46,0,0.95,0.16,-0.07,0,0.97,0.05,-0.06,0,-0.030,0.130,-0.183,0,,,,,4.47,0.06,-0.13,0,4.170,4.030,-2.410,0,,,,,890.2960000,17.3330000,-16.6950000,13.5260000,0.0240000,-0.0240000
Kepler-1448 b,1,Published Confirmed,12.27065865,0.00005885,-0.00005885,0,,,,,1.610,0.210,-0.160,0,0.144,0.019,-0.014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5774.00,89.88,-66.69,0,0.93,0.12,-0.08,0,0.95,0.06,-0.07,0,-0.160,0.176,-0.210,0,,,,,4.49,0.05,-0.10,0,3.550,3.850,-1.930,0,,,,,768.9030000,10.2315000,-10.2315000,13.3800000,0.0320000,-0.0320000
Kepler-1449 b,1,Published Confirmed,13.22745280,0.00014470,-0.00014470,0,,,,,1.680,0.370,-0.180,0,0.150,0.033,-0.016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5979.00,98.77,-97.37,0,1.10,0.23,-0.11,0,1.08,0.07,-0.06,0,0.040,0.143,-0.169,0,,,,,4.39,0.08,-0.15,0,3.470,1.890,-1.790,0,,,,,2006.4800000,85.6800000,-79.0700000,13.9940000,0.0340000,-0.0340000
Kepler-145 b,1,Published Confirmed,22.95100000,,,0,,,,,2.650,0.080,-0.080,0,0.236,0.007,-0.007,0,37.10000,11.60000,-11.60000,0,0.11700,0.03600,-0.03600,0,Mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,0.05,-0.05,0,1.32,0.10,-0.10,0,,,,,,,,,4.02,0.01,-0.01,0,,,,,,,,,566.8500000,8.3850000,-8.1480000,10.9130000,0.0250000,-0.0250000
Kepler-145 c,1,Published Confirmed,42.88200000,,,0,,,,,4.320,0.120,-0.120,0,0.385,0.011,-0.011,0,79.40000,16.40000,-16.40000,0,0.25000,0.05200,-0.05200,0,Mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,0.05,-0.05,0,1.32,0.10,-0.10,0,,,,,,,,,4.02,0.01,-0.01,0,,,,,,,,,566.8500000,8.3850000,-8.1480000,10.9130000,0.0250000,-0.0250000
Kepler-1450 b,1,Published Confirmed,54.50941660,0.00052700,-0.00052700,0,,,,,1.710,0.130,-0.110,0,0.153,0.012,-0.010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4524.00,104.75,-94.04,0,0.68,0.03,-0.04,0,0.71,0.03,-0.04,0,-0.020,0.146,-0.147,0,,,,,4.63,0.02,-0.03,0,4.370,5.400,-2.440,0,,,,,505.8290000,7.4105000,-7.4105000,13.6810000,0.0260000,-0.0260000
